cnn1d
Start time:  2023-10-19 12:21:20.896119
Loading data...
Data loaded.
Epoch [122/150], Step [10/19], Loss: 1.7301
Epoch [123/150], Step [10/19], Loss: 1.7311
Epoch [124/150], Step [10/19], Loss: 1.7291
Epoch [125/150], Step [10/19], Loss: 1.7360
Epoch [126/150], Step [10/19], Loss: 1.7477
Epoch [127/150], Step [10/19], Loss: 1.7428
Epoch [128/150], Step [10/19], Loss: 1.7545
Epoch [129/150], Step [10/19], Loss: 1.7282
Epoch [130/150], Step [10/19], Loss: 1.7399
Epoch [131/150], Step [10/19], Loss: 1.7262
Epoch [132/150], Step [10/19], Loss: 1.7213
Epoch [133/150], Step [10/19], Loss: 1.7223
Epoch [134/150], Step [10/19], Loss: 1.7457
Epoch [135/150], Step [10/19], Loss: 1.7506
Epoch [136/150], Step [10/19], Loss: 1.7360
Epoch [137/150], Step [10/19], Loss: 1.7233
Epoch [138/150], Step [10/19], Loss: 1.7438
Epoch [139/150], Step [10/19], Loss: 1.7653
Epoch [140/150], Step [10/19], Loss: 1.7008
Epoch [141/150], Step [10/19], Loss: 1.7438
Epoch [142/150], Step [10/19], Loss: 1.7262
Epoch [143/150], Step [10/19], Loss: 1.7301
Epoch [144/150], Step [10/19], Loss: 1.7321
Epoch [145/150], Step [10/19], Loss: 1.7340
Epoch [146/150], Step [10/19], Loss: 1.7184
Epoch [147/150], Step [10/19], Loss: 1.7213
Epoch [148/150], Step [10/19], Loss: 1.7252
Epoch [149/150], Step [10/19], Loss: 1.7370
Epoch [150/150], Step [10/19], Loss: 1.7379
End time:  2023-10-19 12:31:18.979705
Total time:  0:09:58.083586
