MODEL_NAME:  optuna_vit1d
Start time:  2023-07-19 13:42:20.672244
Device:  cuda
Max Epochs:  200
Early Stopping Reference Size:  5
Epoch 000: | Loss: 1.55215
Epoch 001: | Loss: 1.50245
Epoch 002: | Loss: 1.49327
Epoch 003: | Loss: 1.48694
Epoch 004: | Loss: 1.47971
Epoch 005: | Loss: 1.47546
Epoch 006: | Loss: 1.46687
Epoch 007: | Loss: 1.46447
Epoch 008: | Loss: 1.46132
Epoch 009: | Loss: 1.45661
Epoch 010: | Loss: 1.44919
Epoch 011: | Loss: 1.44687
Epoch 012: | Loss: 1.44126
Epoch 013: | Loss: 1.43466
Epoch 014: | Loss: 1.42758
Epoch 015: | Loss: 1.42197
Epoch 016: | Loss: 1.41878
Epoch 017: | Loss: 1.40889
Epoch 018: | Loss: 1.40077
Epoch 019: | Loss: 1.39288
Epoch 020: | Loss: 1.38402
Epoch 021: | Loss: 1.37550
Epoch 022: | Loss: 1.36458
Epoch 023: | Loss: 1.35445
Epoch 024: | Loss: 1.34358
Epoch 025: | Loss: 1.32900
Epoch 026: | Loss: 1.32218
Epoch 027: | Loss: 1.31286
Epoch 028: | Loss: 1.30383
Epoch 029: | Loss: 1.29135
Epoch 030: | Loss: 1.28503
Epoch 031: | Loss: 1.27463
Epoch 032: | Loss: 1.26253
Epoch 033: | Loss: 1.25736
Epoch 034: | Loss: 1.25310
Epoch 035: | Loss: 1.24433
Epoch 036: | Loss: 1.23785
Epoch 037: | Loss: 1.23445
Epoch 038: | Loss: 1.22824
Epoch 039: | Loss: 1.22140
Epoch 040: | Loss: 1.21837
Epoch 041: | Loss: 1.21135
Epoch 042: | Loss: 1.21036
Epoch 043: | Loss: 1.20893
Epoch 044: | Loss: 1.20434
Epoch 045: | Loss: 1.19938
Epoch 046: | Loss: 1.19584
Epoch 047: | Loss: 1.19286
Epoch 048: | Loss: 1.19137
Epoch 049: | Loss: 1.18594
Epoch 050: | Loss: 1.18899
Epoch 051: | Loss: 1.18382
Epoch 052: | Loss: 1.17877
Epoch 053: | Loss: 1.18039
Epoch 054: | Loss: 1.17513
Epoch 055: | Loss: 1.17464
Epoch 056: | Loss: 1.17126
Epoch 057: | Loss: 1.16398
Epoch 058: | Loss: 1.16315
Epoch 059: | Loss: 1.16450
Epoch 060: | Loss: 1.16212
Epoch 061: | Loss: 1.15626
Epoch 062: | Loss: 1.15605
Epoch 063: | Loss: 1.16101
Epoch 064: | Loss: 1.15468
Epoch 065: | Loss: 1.14931
Epoch 066: | Loss: 1.14607
Epoch 067: | Loss: 1.14865
Epoch 068: | Loss: 1.14338
Epoch 069: | Loss: 1.14211
Epoch 070: | Loss: 1.13788
Epoch 071: | Loss: 1.13844
Epoch 072: | Loss: 1.13833
Epoch 073: | Loss: 1.13575
Epoch 074: | Loss: 1.13600
Epoch 075: | Loss: 1.13225
Epoch 076: | Loss: 1.13094
Epoch 077: | Loss: 1.13003
Epoch 078: | Loss: 1.12664
Epoch 079: | Loss: 1.12473
Epoch 080: | Loss: 1.12346
Epoch 081: | Loss: 1.11840
Epoch 082: | Loss: 1.11936
Epoch 083: | Loss: 1.11342
Epoch 084: | Loss: 1.11234
Epoch 085: | Loss: 1.11544
Epoch 086: | Loss: 1.11087
Epoch 087: | Loss: 1.11215
Epoch 088: | Loss: 1.10762
Epoch 089: | Loss: 1.10558
Epoch 090: | Loss: 1.10562
Epoch 091: | Loss: 1.10251
Epoch 092: | Loss: 1.10470
Epoch 093: | Loss: 1.09787
Epoch 094: | Loss: 1.09663
Epoch 095: | Loss: 1.09702
Epoch 096: | Loss: 1.09252
Epoch 097: | Loss: 1.09763
Epoch 098: | Loss: 1.09312
Epoch 099: | Loss: 1.09195
Epoch 100: | Loss: 1.09291
Epoch 101: | Loss: 1.08771
Epoch 102: | Loss: 1.08531
Epoch 103: | Loss: 1.08799
Epoch 104: | Loss: 1.08374
Epoch 105: | Loss: 1.08453
Epoch 106: | Loss: 1.08222
Epoch 107: | Loss: 1.07888
Epoch 108: | Loss: 1.07760
Epoch 109: | Loss: 1.07556
Epoch 110: | Loss: 1.07695
Epoch 111: | Loss: 1.07431
Epoch 112: | Loss: 1.07344
Epoch 113: | Loss: 1.07142
Epoch 114: | Loss: 1.07273
Epoch 115: | Loss: 1.07473
Epoch 116: | Loss: 1.06594
Epoch 117: | Loss: 1.06974
Epoch 118: | Loss: 1.06882
Epoch 119: | Loss: 1.06577
Epoch 120: | Loss: 1.06464
Epoch 121: | Loss: 1.06000
Epoch 122: | Loss: 1.06618
Epoch 123: | Loss: 1.06150
Epoch 124: | Loss: 1.06221
Epoch 125: | Loss: 1.06127
Epoch 126: | Loss: 1.05909
Epoch 127: | Loss: 1.05907
Epoch 128: | Loss: 1.05598
Epoch 129: | Loss: 1.05969
Epoch 130: | Loss: 1.05518
Epoch 131: | Loss: 1.05438
Epoch 132: | Loss: 1.04985
Epoch 133: | Loss: 1.05069
Epoch 134: | Loss: 1.05438
Epoch 135: | Loss: 1.04686
Epoch 136: | Loss: 1.04642
Epoch 137: | Loss: 1.04779
Epoch 138: | Loss: 1.04666
Epoch 139: | Loss: 1.04773
Epoch 140: | Loss: 1.04569
Epoch 141: | Loss: 1.04448
Epoch 142: | Loss: 1.04478
Epoch 143: | Loss: 1.04202
Epoch 144: | Loss: 1.04343
Epoch 145: | Loss: 1.04329
Epoch 146: | Loss: 1.03812
Epoch 147: | Loss: 1.04210
Epoch 148: | Loss: 1.03792
Epoch 149: | Loss: 1.03818
Epoch 150: | Loss: 1.03868
Epoch 151: | Loss: 1.03729
Epoch 152: | Loss: 1.03530
Epoch 153: | Loss: 1.03830
Epoch 154: | Loss: 1.03186
Epoch 155: | Loss: 1.03589
Epoch 156: | Loss: 1.03434
Epoch 157: | Loss: 1.03216
Epoch 158: | Loss: 1.02849
Epoch 159: | Loss: 1.02839
Epoch 160: | Loss: 1.02969
Epoch 161: | Loss: 1.02796
Epoch 162: | Loss: 1.02930
Epoch 163: | Loss: 1.02978
Epoch 164: | Loss: 1.02456
Epoch 165: | Loss: 1.02679
Epoch 166: | Loss: 1.02379
Epoch 167: | Loss: 1.02593
Epoch 168: | Loss: 1.02228
Epoch 169: | Loss: 1.02215
Epoch 170: | Loss: 1.02188
Epoch 171: | Loss: 1.02347
Epoch 172: | Loss: 1.02378
Epoch 173: | Loss: 1.02380
Epoch 174: | Loss: 1.02002
Epoch 175: | Loss: 1.02266
Epoch 176: | Loss: 1.02121
Epoch 177: | Loss: 1.01889
Epoch 178: | Loss: 1.01562
Epoch 179: | Loss: 1.01634
Epoch 180: | Loss: 1.01570
Epoch 181: | Loss: 1.01677
Epoch 182: | Loss: 1.01539
Epoch 183: | Loss: 1.01052
Epoch 184: | Loss: 1.01155
Epoch 185: | Loss: 1.01244
Epoch 186: | Loss: 1.01122
