MODEL_NAME:  optuna_vit1d
Start time:  2023-07-14 15:08:08.274215
cuda:0
Accuracy: 0.3803080985915493
Accuracy: 0.879682609546166
Accuracy: 0.5911663732394367
Accuracy: 0.7449599133895131
Accuracy: 0.7459164710485133
Accuracy: 0.7977308294209702
Accuracy: 0.8736545138888889
Accuracy: 0.5173733372456963
Accuracy: 0.8534286971830986
Accuracy: 0.7602606117353309
Accuracy: 0.8271346830985915
Accuracy: 0.8856510416666666
Accuracy: 0.883359375
Accuracy: 0.8768272569444444
Accuracy: 0.8076909722222223
Accuracy: 0.8903428819444444
Accuracy: 0.8797439236111111
Accuracy: 0.8643265845070423
Accuracy: 0.6399305555555556
Accuracy: 0.8668055555555555
Accuracy: 0.7064236111111111
Accuracy: 0.8799001736111111
Accuracy: 0.88109375
Accuracy: 0.8218359375
Accuracy: 0.8806728405898876
Accuracy: 0.8771875
Accuracy: 0.875550176056338
Accuracy: 0.8758246527777778
Accuracy: 0.6381597222222222
Accuracy: 0.5608186619718311
Accuracy: 0.6479991319444445
Accuracy: 0.8813107638888888
Accuracy: 0.8825998263888889
Accuracy: 0.8808420138888889
Accuracy: 0.8562977918227216
Accuracy: 0.8688336267605634
Accuracy: 0.7933783255086072
Accuracy: 0.8647699652777778
Accuracy: 0.7997359154929577
Accuracy: 0.4731391823161189
Accuracy: 0.8850737847222222
Accuracy: 0.8804904513888889
Accuracy: 0.8760416666666667
Accuracy: 0.8815147569444445
Accuracy: 0.8047491197183099
Accuracy: 0.8891840277777777
Accuracy: 0.8827083333333333
Accuracy: 0.8823882256554307
Accuracy: 0.7978897691705791
Accuracy: 0.8750173611111111
Accuracy: 0.7499479166666667
Accuracy: 0.8864322916666666
Accuracy: 0.8847569444444444
Accuracy: 0.8942230902777778
Accuracy: 0.8918489583333334
Accuracy: 0.88453125
Accuracy: 0.8446302816901409
Accuracy: 0.8901822916666666
Accuracy: 0.8878689236111111
Accuracy: 0.8753620962078652
Accuracy: 0.8071223958333333
Accuracy: 0.8898828125
Accuracy: 0.8925347222222223
Accuracy: 0.8971050347222221
Accuracy: 0.8306597222222222
Accuracy: 0.8899435763888888
Accuracy: 0.8887015845070423
Accuracy: 0.8814409722222222
Accuracy: 0.6817925347222222
Accuracy: 0.8182218309859155
Accuracy: 0.8525173611111111
Accuracy: 0.8927647569444443
Accuracy: 0.8851085069444444
Accuracy: 0.8801041666666667
Accuracy: 0.8853732638888889
Accuracy: 0.665664123630673
Accuracy: 0.843849826388889
Accuracy: 0.8907161458333334
Accuracy: 0.8881467013888888
Accuracy: 0.7531553819444444
Accuracy: 0.8605501760563381
Accuracy: 0.8912803819444446
Accuracy: 0.8924392361111111
Accuracy: 0.8911371527777777
Accuracy: 0.8878342013888889
Accuracy: 0.8974914169787765
Accuracy: 0.8899971227372035
Accuracy: 0.8754498771067416
Accuracy: 0.8894143551029963
Accuracy: 0.8880513128121099
Accuracy: 0.5920297382178528
Accuracy: 0.8905338541666666
Accuracy: 0.8863498263888889
Accuracy: 0.8897743055555556
Accuracy: 0.8749435763888889
Accuracy: 0.797425176056338
Accuracy: 0.8854947916666667
Accuracy: 0.8303257042253521
Accuracy: 0.8908116319444443
Accuracy: 0.352578125
Accuracy: 0.886484375
Accuracy: 0.8914019097222222
Accuracy: 0.8869791666666667
Accuracy: 0.8808550347222223
Accuracy: 0.8925607638888889
Accuracy: 0.8656597222222222
Accuracy: 0.828185763888889
Accuracy: 0.8940140845070422
Accuracy: 0.8762367957746479
Accuracy: 0.8816593309859155
Accuracy: 0.6360431338028169
Accuracy: 0.8807174295774648
Accuracy: 0.8948394097222222
Accuracy: 0.8875831480181025
Accuracy: 0.8863498263888889
Accuracy: 0.8329313380281691
Accuracy: 0.7994791666666666
Accuracy: 0.8764149305555555
Accuracy: 0.6825484154929577
Accuracy: 0.8976183489827856
Accuracy: 0.881712147887324
Accuracy: 0.8787656494522692
Accuracy: 0.8890600547730829
Accuracy: 0.881467625195618
Accuracy: 0.8894487847222222
Accuracy: 0.7651996527777778
Accuracy: 0.8520270931142411
Accuracy: 0.8350477430555556
Accuracy: 0.8855751599563046
Accuracy: 0.821796875
Accuracy: 0.88890625
Accuracy: 0.88890625
Accuracy: 0.8936197916666667
Accuracy: 0.8905338541666666
Accuracy: 0.8877256944444444
Accuracy: 0.8932595486111112
Accuracy: 0.8903645833333333
Accuracy: 0.8678609154929577
Accuracy: 0.8931250000000001
Accuracy: 0.8854947916666667
Accuracy: 0.8098421894506866
Accuracy: 0.8880034722222222
Accuracy: 0.8867100694444444
Accuracy: 0.8926085069444445
Accuracy: 0.8942491319444444
Accuracy: 0.8950781250000001
Accuracy: 0.5808637152777778
Accuracy: 0.8939105902777779
Accuracy: 0.8945008680555555
Accuracy: 0.8739852308294209
Accuracy: 0.8819322183098591
Accuracy: 0.8923524305555556
Accuracy: 0.8839756944444445
Accuracy: 0.8999999999999999
Accuracy: 0.894765625
Accuracy: 0.9012630208333334
Accuracy: 0.8926215277777777
Accuracy: 0.8969835069444445
Accuracy: 0.8862152777777778
Accuracy: 0.8943441901408451
Accuracy: 0.8851144366197183
Accuracy: 0.8937147887323944
Accuracy: 0.8889832746478873
Accuracy: 0.8900044014084507
Accuracy: 0.8552992957746479
Accuracy: 0.8857306338028169
Accuracy: 0.8944542253521127
Accuracy: 0.8963732394366197
Accuracy: 0.7928829225352113
Accuracy: 0.891593309859155
Accuracy: 0.8942165492957747
Accuracy: 0.8940140845070422
Accuracy: 0.8942957746478873
Accuracy: 0.8927552816901408
